data;cod;setor;produto;preco
2024-09-13;/produtos/42;AÇOUGUE;Alcatra Bov Friboi a Vácuo Kg (peça);29,98
2024-09-13;/produtos/42;AÇOUGUE;Coração da Alcatra Maturatta  Friboi (Peça) Kg;39,98
2024-09-13;/produtos/42;AÇOUGUE;Coxa c/ Sobrecoxa de Frango c/ porção Dorsal Kg;6,98
2024-09-13;/produtos/42;AÇOUGUE;Filé de Costela Friboi Maturatta PEÇA Kg;39,98
2024-09-13;/produtos/42;AÇOUGUE;Pá Bov Friboi a Vacuo Kg (peça);24,98
2024-09-13;/produtos/42;AÇOUGUE;Peito Bov Friboi a Vacuo Kg (peça);24,98
2024-09-13;/produtos/42;AÇOUGUE;Acém Bov Friboi a Vacuo Kg (peça);24,98
2024-09-13;/produtos/42;AÇOUGUE;Peito de Frango kg;12,98
2024-09-13;/produtos/42;AÇOUGUE;Contra Filé Maturatta Friboi (Peça) Kg;49,98
2024-09-13;/produtos/42;AÇOUGUE;Frango a Passarinho Lar Pct Kg;11,98
2024-09-13;/produtos/42;AÇOUGUE;Bisteca Suína Frimesa kg;15,98
2024-09-13;/produtos/42;AÇOUGUE;Filé Mignon Bovino Friboi do Chef (peça) kg;59,98
2024-09-13;/produtos/42;AÇOUGUE;Filé Mignon Bovino Maturatta Friboi (peça) kg;59,98
2024-09-13;/produtos/42;AÇOUGUE;Picanha Bovina Friboi Reserva à Vácuo (Peça) Kg;57,98
2024-09-13;/produtos/42;AÇOUGUE;Picanha Bovina Friboi Maturatta à Vácuo (peça) kg;69,98
2024-09-13;/produtos/42;AÇOUGUE;Filé de Polaca DH Fish 500g;12,98
2024-09-13;/produtos/42;AÇOUGUE;Filé de Peixe Panga Planalto 500g;12,98
2024-09-13;/produtos/42;AÇOUGUE;Moela de Frango Sadia Bandeja kg;9,98
2024-09-13;/produtos/82;BEBIDA;Cerveja Antarctica 269ml;2,29
2024-09-13;/produtos/82;BEBIDA;Cerveja Antarctica Latão 473ml;4,39
2024-09-13;/produtos/82;BEBIDA;Cerveja Bohemia Latão 473ml;3,69
2024-09-13;/produtos/82;BEBIDA;Cerveja Brahma Lata 269ml;2,19
2024-09-13;/produtos/82;BEBIDA;Cerveja Brahma Long Neck 355ml;4,49
2024-09-13;/produtos/82;BEBIDA;Cerveja Coronita 210ml;4,99
2024-09-13;/produtos/82;BEBIDA;Cerveja Skol Latão 473ml;4,19
2024-09-13;/produtos/82;BEBIDA;Cerveja Skol Puro Malte Latão 473ml;3,69
2024-09-13;/produtos/82;BEBIDA;Refrigerante Pepsi Cola Pet 2l+250ml;6,99
2024-09-13;/produtos/82;BEBIDA;Refrigerante Pepsi Lata 269ml;2,59
2024-09-13;/produtos/82;BEBIDA;Guarana Antarctica lata 269ml;1,99
2024-09-13;/produtos/82;BEBIDA;Suco Concentrado Dafruta Caju Leve 1L Pague 750ml;4,98
2024-09-13;/produtos/82;BEBIDA;Suco de Laranja Campo Largo Pet 1350ml;12,80
2024-09-13;/produtos/82;BEBIDA;Suco de Uva Integral Campo Largo 1350ml;16,90
2024-09-13;/produtos/82;BEBIDA;Bebida Gatorade Pet 500ml ;5,49
2024-09-13;/produtos/82;BEBIDA;Espumante Chandon Brutt 750ml;84,45
2024-09-13;/produtos/82;BEBIDA;Gin Beefeater 750ml ;89,90
2024-09-13;/produtos/82;BEBIDA;Gin Gordon's 750ml;84,35
2024-09-13;/produtos/82;BEBIDA;Gin Tanqueray 750ml;99,90
2024-09-13;/produtos/82;BEBIDA;Vinho Argentino Cavic  750ml ;23,50
2024-09-13;/produtos/82;BEBIDA;Vinho Argentino Toro Centenario 750ml;29,90
2024-09-13;/produtos/82;BEBIDA; Vinho Chileno AS3 Cabernet Sauvignon Varietal 750ml;24,20
2024-09-13;/produtos/82;BEBIDA;Vodka Smirnoff 600ml;23,99
2024-09-13;/produtos/82;BEBIDA;Vodka Smirnoff Ice 275ml;8,59
2024-09-13;/produtos/82;BEBIDA;Whisky Johnnie Walker Black Label 1 litro ;149,90
2024-09-13;/produtos/82;BEBIDA;Whisky Chivas Regal 12 Anos 750ml;109,90
2024-09-13;/produtos/82;BEBIDA;Whisky Red Label 750ml;59,90
